,,,,,
Công ty,Tên,Hối đoái,Lĩnh vực,Ngành,Vốn Hoá Thị Trường
VIC,Vingroup,HOSE,Bất Động Sản,Hoạt động bất động sản,"1.194,43 NT ₫"
VCB,JSC Bank for Foreign Trade of Viet Nam,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"477,11 NT ₫"
VHM,Vinhomes,HOSE,Bất Động Sản,Hoạt động bất động sản,"451,82 NT ₫"
CTG,Vietinbank,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"273,4 NT ₫"
BID,Ngân hàng BIDV,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"272,43 NT ₫"
TCB,Techcombank,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"240,22 NT ₫"
VPB,VPBank,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"223,34 NT ₫"
HPG,Hoà Phát,HOSE,Nguyên Liệu Cơ Bản,Kim Loại & Khai Mỏ,"206,47 NT ₫"
MBB,MBBank,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"200,17 NT ₫"
GAS,TCT Khí Việt Nam,HOSE,Năng lượng,Khí và Dầu,"170,11 NT ₫"
FPT,FPT,HOSE,Công Nghệ,Dịch Vụ Phần Mềm & CNTT,"157,57 NT ₫"
HDB,HDBank,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"138,15 NT ₫"
MWG,Thế giới Di động,HOSE,Hàng Tiêu Dùng Theo Chu Kỳ,Nhà Bán Lẻ Chuyên Dụng,"128,63 NT ₫"
VNM,Vinamilk,HOSE,Hàng Tiêu Dùng Không Theo Chu Kỳ,Thực Phẩm & Thuốc Lá,"128,53 NT ₫"
LPB,Fortune Vietnam Joint Stock Commercial Bank,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"123,97 NT ₫"
VJC,Vietjet Air,HOSE,Các Ngành Công Nghiệp,Dịch Vụ Vận Tải Hành Khách,123 NT ₫
ACB,Ngân hàng ACB,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"122,77 NT ₫"
MSN,Tập đoàn Masan,HOSE,Hàng Tiêu Dùng Không Theo Chu Kỳ,Thực Phẩm & Thuốc Lá,"108,88 NT ₫"
ACV,Cảng hàng không Việt Nam,HNX,Các Ngành Công Nghiệp,Cơ Sở Hạ Tầng Giao Thông Vận Tải,"108,63 NT ₫"
STB,Sacombank,HOSE,Tài chính,Dịch Vụ Ngân Hàng,"108,4 NT ₫"
GVR,Tập đoàn Cao su Việt Nam,HOSE,Hàng Tiêu Dùng Theo Chu Kỳ,Ô Tô & Phụ Tùng Ô Tô,102 NT ₫
VGI,Đầu tư Quốc tế Viettel,HNX,Công Nghệ,Dịch Vụ Viễn Thông,"95,58 NT ₫"
BSR,Hóa dầu Bình Sơn,HOSE,Năng lượng,Khí và Dầu,"81,37 NT ₫"
HVN,Vietnam Airlines,HOSE,Các Ngành Công Nghiệp,Dịch Vụ Vận Tải Hành Khách,"80,59 NT ₫"
