time,vni
2016-01-31,545.25
2016-02-29,559.37
2016-03-31,561.22
2016-04-30,598.37
2016-05-31,618.44
2016-06-30,632.26
2016-07-31,652.23
2016-08-31,674.63
2016-09-30,685.73
2016-10-31,675.8
2016-11-30,665.07
2016-12-31,664.87
2017-01-31,697.28
2017-02-28,710.79
2017-03-31,722.31
2017-04-30,717.73
2017-05-31,737.82
2017-06-30,776.47
2017-07-31,783.55
2017-08-31,782.76
2017-09-30,804.42
2017-10-31,837.28
2017-11-30,949.93
2017-12-31,984.24
2018-01-31,1110.36
2018-02-28,1124.87
2018-03-31,1174.46
2018-04-30,1050.26
2018-05-31,971.25
2018-06-30,960.78
2018-07-31,956.39
2018-08-31,989.54
2018-09-30,1017.13
2018-10-31,914.76
2018-11-30,926.54
2018-12-31,892.54
2019-01-31,910.65
2019-02-28,965.47
2019-03-31,980.76
2019-04-30,979.64
2019-05-31,959.88
2019-06-30,949.94
2019-07-31,991.66
2019-08-31,984.06
2019-09-30,996.56
2019-10-31,998.82
2019-11-30,970.75
2019-12-31,960.99
2020-01-31,936.62
2020-02-29,882.19
2020-03-31,662.53
2020-04-30,769.11
2020-05-31,864.47
2020-06-30,825.11
2020-07-31,798.39
2020-08-31,881.65
2020-09-30,905.21
2020-10-31,925.47
2020-11-30,1003.08
2020-12-31,1103.87
2021-01-31,1056.61
2021-02-28,1168.47
2021-03-31,1191.44
2021-04-30,1239.39
2021-05-31,1328.05
2021-06-30,1408.55
2021-07-31,1310.05
2021-08-31,1331.47
2021-09-30,1342.06
2021-10-31,1444.27
2021-11-30,1478.44
2021-12-31,1498.28
2022-01-31,1478.96
2022-02-28,1490.13
2022-03-31,1492.15
2022-04-30,1366.8
2022-05-31,1292.68
2022-06-30,1197.6
2022-07-31,1206.33
2022-08-31,1280.51
2022-09-30,1132.11
2022-10-31,1027.94
2022-11-30,1048.42
2022-12-31,1007.09
2023-01-31,1111.18
2023-02-28,1024.68
2023-03-31,1064.64
2023-04-30,1049.12
2023-05-31,1075.17
2023-06-30,1120.18
2023-07-31,1222.9
2023-08-31,1224.05
2023-09-30,1154.15
2023-10-31,1028.19
2023-11-30,1094.13
2023-12-31,1129.93
2024-01-31,1164.31
2024-02-29,1252.73
2024-03-31,1284.09
2024-04-30,1209.52
2024-05-31,1261.72
2024-06-30,1245.32
2024-07-31,1251.51
2024-08-31,1283.87
2024-09-30,1287.94
2024-10-31,1264.48
2024-11-30,1250.46
2024-12-31,1266.78
2025-01-31,1265.05
2025-02-28,1305.36
2025-03-31,1306.86
2025-04-30,1226.3
2025-05-31,1332.6
2025-06-30,1376.07
2025-07-31,1502.52
2025-08-31,1682.21
2025-09-30,1661.7
2025-10-31,1639.65
2025-11-30,1690.99
2025-12-31,1784.49
