time,VIC,HPG,GAS,FPT,MWG,VNM,MSN,GEX,KDH,REE,PNJ,KBC,MSR,GMD,DGC,HAG,VEF,SBT,PDR,VGC,DXG,SJS,HUT,DCM,PVS,PVD,KDC,DPM,VCG,BMP,CII,DHG,CEO,VHC,NLG,DIG,NTP,DBC,VSH,HDG,LGC,HSG,PVT,DGW,CTD,IMP,VCF,PHR,VSC,CMG,ANV,NT2,TMS,HNG,NKG,VCS,IJC,DHT,HHV,PDN,HT1,PAN,HHS,TVN,TLG,CHP,HDC,TBD,TMP,SAS,QCG,DDV,VC3,STG,PET,SHP,SCR,DPR,DHC,PPC,DCL,AAA,HGM,PTB,TRA,CSV,TCM,SAM,DNP,SWC,PGS,DVP,ASM,ELC
2021-01-04,48.0,17.83,57.73,26.02,38.57,82.38,72.8,15.06,18.22,27.2,55.29,19.58,22.4,24.51,17.2,5.29,56.9,16.18,25.88,21.4,11.07,10.97,4.25,10.42,15.78,12.82,34.96,7.1,28.08,39.99,17.19,80.44,9.16,30.15,22.85,16.27,20.32,18.31,13.78,18.09,57.36,16.5,9.44,17.26,52.42,23.22,170.7,48.59,12.37,18.52,10.85,17.61,18.89,14.9,8.35,62.46,13.19,16.03,14.37,22.27,16.0,32.61,4.65,8.07,25.36,11.44,14.11,111.52,26.25,22.75,9.2,7.49,8.4,16.25,13.21,14.73,8.53,17.92,27.77,13.94,25.5,12.34,23.85,30.57,57.56,9.2,27.93,8.82,18.0,15.86,14.56,29.52,9.72,4.54
2021-01-05,48.76,17.85,58.51,27.1,38.99,84.28,73.13,15.45,18.26,27.15,55.02,20.25,22.6,25.03,17.4,5.36,56.96,16.49,25.68,21.68,11.48,10.81,4.15,10.42,15.7,12.89,34.96,7.04,28.29,40.3,17.3,80.44,9.36,30.11,22.89,17.35,20.37,17.97,13.78,19.33,57.36,16.57,9.37,16.77,52.42,23.14,170.7,49.12,12.37,18.42,10.85,17.46,18.42,15.55,8.35,62.6,13.16,16.03,15.47,22.41,16.58,32.33,4.63,8.07,26.07,11.47,14.98,111.52,26.25,21.97,9.19,7.66,8.4,17.0,13.82,14.73,8.43,17.96,27.72,13.97,25.5,12.3,23.85,30.18,57.8,9.07,28.79,8.78,17.9,16.22,14.42,29.24,9.58,4.74
2021-01-06,48.98,18.04,58.77,26.97,38.79,83.52,72.31,15.29,18.63,27.04,54.96,19.65,22.4,24.73,17.3,5.28,57.5,16.41,25.93,22.16,11.51,10.69,4.25,10.38,16.04,13.0,35.01,6.97,28.29,39.3,17.3,81.75,9.22,29.5,24.46,17.18,20.05,18.15,13.74,18.88,57.36,16.5,9.37,16.69,52.21,23.22,167.07,49.58,12.5,18.09,10.65,17.46,18.73,16.1,8.3,62.6,13.01,16.06,17.54,22.41,16.66,32.33,4.67,7.98,26.58,11.81,14.93,111.52,25.87,22.36,8.92,7.74,8.4,17.0,13.74,14.73,8.43,17.98,27.77,13.92,24.9,12.34,23.85,29.83,57.17,9.04,29.11,9.36,19.6,16.04,14.56,29.05,9.5,4.72
2021-01-07,48.93,18.04,60.26,27.02,38.63,83.98,75.34,15.36,18.81,27.58,55.23,20.25,22.6,25.18,17.64,5.64,61.51,16.41,25.78,22.36,11.71,11.43,4.25,10.38,16.87,13.89,36.85,7.06,28.29,38.61,17.23,83.29,8.34,29.86,25.65,17.51,20.21,18.15,14.45,18.88,57.36,16.78,9.6,16.69,51.94,23.18,167.07,49.2,12.41,17.86,10.87,17.61,19.15,17.2,8.35,62.53,13.01,16.06,17.46,22.33,16.75,32.42,4.7,7.98,27.41,11.56,14.85,98.14,26.25,22.36,9.15,7.57,8.45,16.8,14.02,14.73,8.6,17.98,29.13,14.06,25.3,12.9,23.85,29.68,55.99,8.79,29.38,9.99,18.0,16.13,15.0,28.93,10.15,4.96
2021-01-08,49.69,18.02,60.26,27.36,38.95,85.19,76.24,15.39,18.94,27.74,55.77,20.62,24.4,25.1,17.64,6.03,62.92,16.84,25.68,22.28,11.58,11.51,4.44,10.57,17.21,14.56,37.27,7.13,28.71,38.99,17.3,83.06,8.34,30.01,25.35,17.37,20.05,18.59,14.49,18.83,57.36,16.78,9.76,16.57,52.69,23.18,167.07,50.04,12.76,17.91,10.76,17.68,19.57,16.95,8.3,62.6,13.91,16.06,14.88,22.33,16.75,32.14,4.82,7.98,27.22,11.5,14.67,111.52,26.25,22.51,9.3,7.66,8.45,16.8,14.06,14.73,8.78,18.24,29.13,14.57,25.5,12.85,23.85,30.38,55.59,8.88,30.98,10.66,18.0,15.95,14.56,29.08,10.32,5.13
2021-01-11,50.58,18.15,60.65,27.97,40.36,88.16,77.06,16.31,20.21,27.69,55.97,21.15,25.5,25.25,17.67,6.36,65.2,17.65,25.73,22.2,11.85,11.51,4.63,10.53,17.63,15.56,37.27,7.21,28.93,38.74,18.39,83.06,8.21,31.08,26.42,17.32,20.16,18.12,14.45,18.7,57.36,16.78,9.92,17.13,53.86,23.22,166.34,51.72,13.29,18.09,10.81,18.42,19.31,16.3,8.28,65.69,13.91,16.51,14.52,20.88,16.66,32.18,5.08,8.07,27.16,11.63,14.11,111.52,26.25,22.44,9.38,7.66,8.49,16.1,13.9,14.73,9.06,18.33,29.18,14.88,27.25,13.41,23.85,31.07,57.25,9.07,31.79,10.61,18.1,15.95,14.64,29.49,10.12,5.18
2021-01-12,50.85,18.93,60.85,28.44,40.36,88.46,76.97,16.08,20.68,28.72,56.11,22.39,24.6,26.92,17.94,6.27,63.52,17.65,25.73,21.84,11.92,11.2,4.54,10.57,17.55,15.85,37.08,7.21,28.77,39.3,18.86,81.36,8.21,31.3,26.11,18.53,20.21,18.0,14.37,18.7,57.36,17.48,9.92,16.95,57.63,23.82,166.34,53.4,14.21,18.23,11.04,18.24,19.67,16.1,8.51,65.48,13.83,16.63,15.47,21.44,16.62,32.18,5.19,9.02,27.35,11.63,14.54,111.52,26.25,22.36,9.37,7.66,8.49,15.9,13.82,14.73,8.94,19.09,29.4,14.85,29.0,13.15,23.85,30.62,56.38,9.7,32.33,10.25,18.2,15.95,14.71,30.75,10.06,5.2
2021-01-13,49.38,18.84,60.46,28.75,40.36,87.1,76.4,15.78,20.37,28.77,55.97,23.4,24.3,26.58,17.7,6.0,63.72,17.42,26.63,21.48,11.88,11.37,4.54,10.53,17.21,15.56,37.08,7.21,28.74,40.55,18.74,83.82,8.14,30.9,25.35,18.39,21.14,18.72,14.37,18.38,57.36,17.58,9.76,16.93,57.69,23.46,166.34,53.1,14.58,17.91,10.83,17.92,19.93,16.0,8.41,64.69,13.81,16.36,15.47,21.44,16.75,32.7,4.85,9.59,27.68,11.53,14.41,111.52,26.25,23.85,9.12,7.66,8.45,16.7,14.06,14.73,8.61,19.74,29.04,14.46,28.8,13.07,23.85,30.53,57.96,9.58,32.7,10.03,18.2,17.04,15.51,31.57,9.95,5.54
2021-01-14,49.07,18.74,59.87,28.7,40.9,86.03,75.58,15.68,20.49,28.66,55.56,25.01,24.8,26.47,17.77,6.07,63.46,17.65,27.98,21.56,12.32,11.27,4.44,10.53,17.46,15.82,37.08,7.25,28.74,40.49,18.55,83.75,8.07,30.47,25.31,18.48,20.92,19.72,14.34,18.2,53.37,17.44,9.76,16.49,57.56,23.5,169.24,52.94,14.45,18.07,10.74,17.71,19.98,15.55,8.38,64.76,13.63,16.36,13.19,21.44,16.62,33.79,5.01,9.5,27.65,11.53,14.37,111.52,25.62,24.32,8.95,7.66,8.4,16.2,15.03,14.73,8.58,20.04,29.13,14.63,28.75,13.11,23.85,31.37,56.78,9.54,32.81,10.12,18.3,17.13,15.73,31.44,10.32,5.81
2021-01-15,49.42,18.76,59.55,28.79,40.87,86.64,76.16,15.68,21.11,28.93,55.84,25.8,24.6,26.47,17.8,6.39,62.92,18.38,27.63,21.72,11.75,11.31,4.83,10.53,18.13,16.89,37.08,7.26,28.74,40.05,18.51,83.06,8.21,30.22,25.81,18.56,20.92,19.87,14.41,18.7,53.2,17.62,10.44,16.59,56.94,23.3,169.24,53.71,14.04,18.14,10.72,17.71,19.83,15.75,8.46,64.97,14.19,16.48,14.0,22.41,16.62,33.37,5.25,9.59,27.42,11.53,14.37,111.52,25.62,24.24,9.05,7.66,8.4,15.8,15.51,14.79,8.85,20.86,31.13,14.31,30.3,13.24,23.85,31.32,55.99,9.56,35.07,10.82,18.3,17.13,15.37,31.09,10.29,6.1
