time,VIC,HPG,GAS,FPT,MWG,VNM,MSN,GEX,KDH,REE,PNJ,KBC,MSR,GMD,DGC,HAG,VEF,SBT,PDR,VGC,DXG,SJS,HUT,DCM,PVS,PVD,KDC,DPM,VCG,BMP,CII,DHG,CEO,VHC,NLG,DIG,NTP,DBC,VSH,HDG,LGC,HSG,PVT,DGW,CTD,IMP,VCF,PHR,VSC,CMG,ANV,NT2,TMS,HNG,NKG,VCS,IJC,DHT,HHV,PDN,HT1,PAN,HHS,TVN,TLG,CHP,HDC,TBD,TMP,SAS,QCG,DDV,VC3,STG,PET,SHP,SCR,DPR,DHC,PPC,DCL,AAA,HGM,PTB,TRA,CSV,TCM,SAM,DPP,DNP,SWC,PGS,DVP,ASM,ELC
2016-01-31,12.86,2.74,19.33,8.42,8.03,42.82,37.32,8.41,5.46,9.34,13.52,8.28,6.91,13.04,8.73,8.2,15.53,13.93,3.06,4.86,5.41,6.72,6.89,6.4,9.17,14.08,15.81,7.06,5.02,30.4,15.43,28.62,6.21,8.55,11.16,3.34,12.4,4.92,9.79,4.54,16.63,5.39,4.01,4.14,60.17,7.74,62.85,5.4,9.44,4.84,1.21,10.22,22.85,15.4,2.8,10.35,2.31,2.64,8.12,5.99,13.81,15.78,6.13,8.93,21.03,7.69,2.91,12.47,11.79,17.51,4.33,7.86,5.43,6.99,6.02,8.08,6.38,6.46,6.26,5.41,8.92,6.62,18.71,11.83,34.61,3.92,10.98,5.33,5.23,5.88,6.49,9.12,27.8,7.27,8.93
2016-02-29,11.91,2.78,21.06,8.67,8.37,47.25,37.06,8.24,5.48,9.41,13.62,9.2,6.62,12.84,8.9,8.1,27.44,14.82,3.08,4.79,5.05,6.26,6.96,6.4,9.05,15.31,17.17,7.01,4.97,32.66,16.12,38.8,5.99,8.79,10.79,3.22,12.89,5.01,9.61,4.44,16.48,5.86,3.97,4.12,67.2,9.03,73.25,5.44,8.73,5.32,1.29,10.26,24.02,8.0,2.78,12.2,2.45,2.96,8.12,6.37,14.41,15.57,6.37,5.7,21.17,7.92,2.84,12.84,11.71,17.28,4.06,8.69,6.06,6.99,6.21,8.08,6.59,7.39,6.26,5.26,12.58,7.01,18.71,13.24,38.17,3.96,11.56,5.39,5.23,6.74,6.02,9.27,27.8,7.57,9.04
2016-03-31,12.75,2.94,21.12,8.54,8.42,49.46,36.8,8.79,5.95,9.37,14.46,8.92,21.67,12.71,7.87,7.8,42.37,15.08,3.5,9.65,4.87,5.81,6.82,6.4,9.11,14.51,16.74,7.11,4.97,36.43,16.33,36.42,5.61,8.22,10.82,2.97,15.5,5.81,9.73,4.26,16.24,6.5,4.05,3.97,82.57,9.71,74.6,5.81,7.7,5.32,1.27,12.86,21.3,8.0,3.06,14.42,2.77,2.79,8.12,6.34,13.87,15.73,5.48,9.5,19.85,8.08,2.8,13.01,11.18,14.42,4.42,11.67,7.16,7.62,6.17,8.13,5.97,6.93,7.4,5.81,12.34,8.18,20.74,16.95,45.31,4.69,10.72,6.2,5.61,11.29,6.92,9.47,29.46,7.19,9.44
2016-04-30,14.18,3.34,26.27,8.82,8.37,51.31,36.03,8.69,5.95,9.07,17.32,9.69,14.98,13.49,8.01,8.0,51.41,17.26,3.38,8.58,4.54,6.2,6.47,6.4,10.24,14.94,18.73,7.26,5.06,35.42,17.08,36.64,5.51,8.64,11.15,3.55,15.41,6.07,9.52,4.52,16.17,9.08,4.48,3.7,76.42,9.67,77.77,6.66,7.25,4.94,1.19,12.37,17.82,8.5,4.16,16.64,2.77,3.08,7.18,6.36,14.78,19.78,5.29,7.6,20.29,7.79,2.76,16.21,11.79,16.98,4.33,8.61,7.06,7.13,6.07,7.87,6.31,7.9,7.8,5.53,16.31,9.49,18.71,19.95,47.82,4.51,9.66,5.89,4.88,11.77,6.28,9.37,30.08,7.82,8.92
2016-05-31,14.18,3.37,30.91,8.69,9.78,52.42,35.77,8.41,6.03,9.14,19.58,10.32,13.6,14.05,7.65,7.8,52.01,16.48,3.5,8.64,4.57,7.53,6.34,6.71,11.14,19.35,19.16,7.11,5.65,36.04,17.43,34.37,5.61,10.14,11.06,3.92,16.11,6.93,9.33,4.86,15.41,10.23,5.11,3.17,79.8,8.8,62.85,6.56,7.77,5.11,1.21,13.26,17.95,8.1,4.16,18.52,3.05,3.23,7.68,6.66,15.86,19.73,5.22,7.5,25.29,8.26,2.97,17.07,11.53,15.79,4.24,6.79,7.38,6.68,6.26,8.26,6.45,7.59,7.21,5.59,14.65,12.28,18.71,20.31,52.86,4.27,10.0,6.2,4.31,11.26,6.4,9.53,32.23,7.15,9.32
2016-06-30,14.81,3.95,32.2,8.91,13.99,52.8,34.23,8.8,5.93,9.06,23.56,10.88,13.53,13.79,9.02,7.3,55.49,16.22,3.24,8.51,4.57,6.44,6.68,6.87,10.84,18.98,20.71,7.17,7.3,37.85,18.12,46.58,5.01,14.15,10.72,3.7,18.41,7.66,9.52,4.67,17.46,11.97,5.42,3.11,87.51,9.61,64.2,7.07,9.41,4.94,1.09,14.56,19.14,8.1,5.94,21.0,3.08,3.36,6.63,7.41,15.7,22.73,5.67,6.36,27.06,8.82,2.91,14.5,12.11,16.08,4.24,7.86,7.92,11.28,6.51,8.78,6.65,7.46,8.3,5.13,16.31,15.22,22.38,23.13,68.02,4.95,9.58,5.64,4.84,14.94,7.24,9.41,33.56,6.39,9.68
2016-07-31,15.29,4.44,30.14,8.74,15.24,59.16,32.94,8.8,6.03,9.1,19.58,12.42,10.11,13.49,8.96,6.4,47.19,17.05,3.01,9.27,4.63,7.05,7.51,6.33,10.76,15.67,21.38,7.55,7.66,42.26,18.36,41.83,5.01,16.33,10.29,3.88,18.43,7.19,9.26,5.13,16.7,11.42,6.01,2.66,100.66,10.84,63.3,6.59,9.77,4.91,0.98,14.72,15.25,6.9,6.27,21.2,3.08,4.1,7.18,9.81,16.34,22.09,4.08,6.55,27.65,8.48,2.97,14.7,11.53,15.47,4.15,4.14,7.58,14.84,6.51,9.21,6.79,7.46,8.09,5.48,22.12,18.06,25.69,21.89,67.43,5.82,7.87,5.64,4.17,12.58,7.24,8.92,32.9,6.39,11.44
2016-08-31,14.42,5.06,32.97,9.58,16.37,71.74,35.52,8.26,6.78,8.88,21.57,12.5,10.55,14.46,9.81,6.3,45.52,18.25,3.01,9.72,4.45,7.89,8.95,6.01,13.37,15.49,28.48,7.5,8.38,42.26,20.19,43.64,4.91,17.26,10.34,3.43,20.98,7.43,9.98,5.06,18.07,12.58,6.64,2.22,110.18,13.41,64.66,6.28,10.34,5.38,1.01,15.58,17.04,7.3,9.76,24.74,2.87,3.87,4.81,9.34,14.67,22.57,3.7,6.55,32.41,8.91,2.97,16.55,11.53,14.93,3.88,5.21,7.48,16.87,6.36,8.97,7.07,7.68,8.21,5.38,21.58,16.69,21.59,23.48,66.25,6.29,7.83,5.51,3.79,13.63,6.67,9.03,33.56,6.94,10.38
2016-09-30,16.34,5.4,36.57,10.18,15.83,64.38,36.19,7.9,7.36,9.54,22.94,13.34,9.16,15.02,12.22,5.25,50.34,16.12,3.02,11.15,4.33,8.58,9.53,6.52,13.5,16.29,29.0,7.37,8.07,50.25,20.83,50.65,5.01,18.29,10.63,3.17,24.06,7.94,10.01,4.72,18.25,12.18,6.57,2.78,117.71,13.86,66.46,6.18,9.77,6.14,1.18,16.59,17.07,5.6,9.86,30.29,2.84,3.79,2.6,9.01,15.05,25.65,3.73,5.32,31.52,8.82,2.82,16.91,11.58,13.14,3.79,6.95,8.51,17.39,6.03,9.21,6.65,7.46,8.48,5.13,16.84,15.57,18.95,25.91,73.05,6.49,7.09,5.14,3.79,16.15,7.55,9.36,33.03,6.62,9.94
2016-10-31,15.61,4.82,34.23,9.49,16.49,65.3,33.82,8.2,7.35,9.39,20.8,12.21,10.84,13.95,9.81,5.2,40.9,17.77,3.15,11.93,4.5,7.32,9.1,5.9,12.23,14.85,27.89,7.19,8.18,52.32,20.12,44.54,5.46,17.07,10.37,3.38,22.57,7.84,9.85,4.69,17.67,11.61,5.96,3.1,117.89,13.31,68.91,7.64,8.69,5.74,1.25,15.32,16.15,6.01,8.6,30.58,3.24,3.75,2.21,9.34,14.13,24.72,3.38,4.84,30.92,8.78,2.55,16.91,11.53,14.04,3.7,4.85,8.34,20.17,5.82,9.39,6.45,8.35,9.32,5.34,20.03,14.96,21.22,25.43,68.61,5.74,6.85,5.06,4.54,14.1,7.07,9.53,31.7,6.56,12.05
