ticket,time,Doanh thu thuần,Thu nhập tài chính,Thu nhập khác,LN trước thuế,Chi phí tiền lãi vay,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Nợ ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Vay và nợ thuê tài chính dài hạn (đồng),TỔNG CỘNG TÀI SẢN (đồng),VỐN CHỦ SỞ HỮU (đồng),LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Khấu hao TSCĐ,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,Số CP lưu hành (Triệu CP)
VIC,2025-09-30,39135103000000.0,33505199000000.0,676227000000.0,4024377000000.0,-9027158000000.0,590641891000000.0,72150719000000.0,7918430000000.0,557896380000000.0,117122101000000.0,204805693000000.0,1087870325000000.0,161903899000000.0,16193864000000.0,9008611000000.0,-26016418000000.0,383591000000.0,7706031024.0
VIC,2025-06-30,46422489000000.0,2506905000000.0,18692171000000.0,3777060000000.0,-7614201000000.0,529134246000000.0,74759825000000.0,9592662000000.0,512360784000000.0,122630037000000.0,156309167000000.0,958235441000000.0,158691890000000.0,14336935000000.0,5944211000000.0,-29926382000000.0,354701000000.0,3853015512.0
VIC,2025-03-31,84053349000000.0,3881715000000.0,5350497000000.0,7381863000000.0,-6102357000000.0,372183892000000.0,32491938000000.0,7480260000000.0,440710635000000.0,98216347000000.0,149589087000000.0,823270248000000.0,157452587000000.0,13026603000000.0,7049131000000.0,-12883907000000.0,250577000000.0,3823661561.0
VIC,2024-12-31,62152407000000.0,10112054000000.0,5732844000000.0,5446885000000.0,-6919631000000.0,396479911000000.0,42582366000000.0,8718884000000.0,505292040000000.0,95189145000000.0,129041914000000.0,836603903000000.0,153834481000000.0,16437647000000.0,5586927000000.0,-21617763000000.0,1982242000000.0,3823661561.0
VIC,2024-09-30,62850017000000.0,8572435000000.0,377588000000.0,4705397000000.0,-5608268000000.0,423990500000000.0,27040242000000.0,6424590000000.0,470411783000000.0,96768964000000.0,115120855000000.0,791473944000000.0,164256879000000.0,29427206000000.0,6362201000000.0,-5993785000000.0,-704103000000.0,3823661561.0
VIC,2024-06-30,42327114000000.0,10300290000000.0,2882661000000.0,4127427000000.0,-5622417000000.0,351053988000000.0,28565428000000.0,4219258000000.0,414505239000000.0,110794386000000.0,111176545000000.0,722130188000000.0,162299283000000.0,32722567000000.0,5513696000000.0,-4200691000000.0,1979228000000.0,3823661561.0
VIC,2024-03-31,21738502000000.0,18940713000000.0,1075553000000.0,2493879000000.0,-4829728000000.0,350049998000000.0,26653084000000.0,4416936000000.0,394383059000000.0,119716720000000.0,106799696000000.0,693948793000000.0,157752735000000.0,27382060000000.0,5129418000000.0,-16755198000000.0,1386000000.0,3823661561.0
VIC,2023-12-31,27427772000000.0,5630560000000.0,14175489000000.0,1305848000000.0,-5379584000000.0,342609157000000.0,29289535000000.0,5671500000000.0,386669534000000.0,114522806000000.0,98789828000000.0,669617073000000.0,148021576000000.0,26468350000000.0,4835484000000.0,-16735129000000.0,520095000000.0,3823661561.0
VIC,2023-09-30,47947906000000.0,1311631000000.0,7312453000000.0,4475332000000.0,-5504380000000.0,298026710000000.0,16882015000000.0,7369738000000.0,344773342000000.0,95183876000000.0,98292858000000.0,625387345000000.0,146942516000000.0,24077179000000.0,4656409000000.0,-15067030000000.0,46964000000.0,3823661561.0
VIC,2023-06-30,47295227000000.0,4189228000000.0,114199000000.0,3635529000000.0,-3194591000000.0,279229101000000.0,18445846000000.0,4919214000000.0,338939145000000.0,86955653000000.0,89096108000000.0,599177139000000.0,137702616000000.0,24708835000000.0,4175850000000.0,-12295347000000.0,210091000000.0,3813935561.0
