ticket,ratio,g_log,omr,dpoc,lrr,wct,hskd,ht,wod
AAA,g_log,,,,0.4988,,,,
AAA,omr,,,,,,,,
AAA,dpoc,,0.4648,,,,,,
AAA,lrr,,,,,,0.5335,,
AAA,wct,,,,,,,,
AAA,hskd,,,,,,,0.5296,
AAA,ht,,,0.5436,,0.5237,,,0.5297
AAA,wod,,,,,,,,
ANV,g_log,,,,0.6145,,,,
ANV,omr,,,,,,,,
ANV,dpoc,,0.6348,,,,,,
ANV,lrr,,,,,,0.4933,,
ANV,wct,,,,,,,,
ANV,hskd,,,,,,,0.5612,
ANV,ht,,,0.6073,,0.5136,,,0.5207
ANV,wod,,,,,,,,
ASM,g_log,,,,0.4359,,,,
ASM,omr,,,,,,,,
ASM,dpoc,,0.5307,,,,,,
ASM,lrr,,,,,,0.4192,,
ASM,wct,,,,,,,,
ASM,hskd,,,,,,,0.5465,
ASM,ht,,,0.634,,0.5565,,,0.6405
ASM,wod,,,,,,,,
BMP,g_log,,,,0.4552,,,,
BMP,omr,,,,,,,,
BMP,dpoc,,0.5602,,,,,,
BMP,lrr,,,,,,0.4,,
BMP,wct,,,,,,,,
BMP,hskd,,,,,,,0.5975,
BMP,ht,,,0.628,,0.623,,,0.405
BMP,wod,,,,,,,,
CHP,g_log,,,,0.6777,,,,
CHP,omr,,,,,,,,
CHP,dpoc,,0.6948,,,,,,
CHP,lrr,,,,,,0.7413,,
CHP,wct,,,,,,,,
CHP,hskd,,,,,,,0.4068,
CHP,ht,,,0.7365,,0.4239,,,0.4275
CHP,wod,,,,,,,,
CII,g_log,,,,0.6332,,,,
CII,omr,,,,,,,,
CII,dpoc,,0.5108,,,,,,
CII,lrr,,,,,,0.623,,
CII,wct,,,,,,,,
CII,hskd,,,,,,,0.5496,
CII,ht,,,0.5093,,0.537,,,0.5791
CII,wod,,,,,,,,
CMG,g_log,,,,0.3781,,,,
CMG,omr,,,,,,,,
CMG,dpoc,,0.4356,,,,,,
CMG,lrr,,,,,,0.5779,,
CMG,wct,,,,,,,,
CMG,hskd,,,,,,,0.5616,
CMG,ht,,,0.4707,,0.4022,,,0.5089
CMG,wod,,,,,,,,
CTD,g_log,,,,0.3107,,,,
CTD,omr,,,,,,,,
CTD,dpoc,,0.5762,,,,,,
CTD,lrr,,,,,,0.5468,,
CTD,wct,,,,,,,,
CTD,hskd,,,,,,,0.5934,
CTD,ht,,,0.3825,,0.4733,,,0.6184
CTD,wod,,,,,,,,
DBC,g_log,,,,0.4107,,,,
DBC,omr,,,,,,,,
DBC,dpoc,,0.4277,,,,,,
DBC,lrr,,,,,,0.455,,
DBC,wct,,,,,,,,
DBC,hskd,,,,,,,0.4951,
DBC,ht,,,0.4201,,0.4171,,,0.5493
DBC,wod,,,,,,,,
DCL,g_log,,,,0.654,,,,
DCL,omr,,,,,,,,
DCL,dpoc,,0.4966,,,,,,
DCL,lrr,,,,,,0.3907,,
DCL,wct,,,,,,,,
DCL,hskd,,,,,,,0.5187,
DCL,ht,,,0.5234,,0.5383,,,0.4606
DCL,wod,,,,,,,,
DHC,g_log,,,,0.5452,,,,
DHC,omr,,,,,,,,
DHC,dpoc,,0.5543,,,,,,
DHC,lrr,,,,,,0.5584,,
DHC,wct,,,,,,,,
DHC,hskd,,,,,,,0.428,
DHC,ht,,,0.5488,,0.3127,,,0.5557
DHC,wod,,,,,,,,
DHG,g_log,,,,0.5535,,,,
DHG,omr,,,,,,,,
DHG,dpoc,,0.4808,,,,,,
DHG,lrr,,,,,,0.5447,,
DHG,wct,,,,,,,,
DHG,hskd,,,,,,,0.4455,
DHG,ht,,,0.6125,,0.3288,,,0.5257
DHG,wod,,,,,,,,
DHT,g_log,,,,0.4177,,,,
DHT,omr,,,,,,,,
DHT,dpoc,,0.6489,,,,,,
DHT,lrr,,,,,,0.5061,,
DHT,wct,,,,,,,,
DHT,hskd,,,,,,,0.6333,
DHT,ht,,,0.7533,,0.6544,,,0.3427
DHT,wod,,,,,,,,
DIG,g_log,,,,0.6607,,,,
DIG,omr,,,,,,,,
DIG,dpoc,,0.6457,,,,,,
DIG,lrr,,,,,,0.6614,,
DIG,wct,,,,,,,,
DIG,hskd,,,,,,,0.6313,
DIG,ht,,,0.452,,0.6614,,,0.236
DIG,wod,,,,,,,,
DNP,g_log,,,,0.4163,,,,
DNP,omr,,,,,,,,
DNP,dpoc,,0.4723,,,,,,
DNP,lrr,,,,,,0.5934,,
DNP,wct,,,,,,,,
DNP,hskd,,,,,,,0.57,
DNP,ht,,,0.4476,,0.4714,,,0.5526
DNP,wod,,,,,,,,
DPM,g_log,,,,0.3424,,,,
DPM,omr,,,,,,,,
DPM,dpoc,,0.5987,,,,,,
DPM,lrr,,,,,,0.443,,
DPM,wct,,,,,,,,
DPM,hskd,,,,,,,0.5488,
DPM,ht,,,0.6161,,0.5209,,,0.6475
DPM,wod,,,,,,,,
DPR,g_log,,,,0.436,,,,
DPR,omr,,,,,,,,
DPR,dpoc,,0.5406,,,,,,
DPR,lrr,,,,,,0.374,,
DPR,wct,,,,,,,,
DPR,hskd,,,,,,,0.6078,
DPR,ht,,,0.5117,,0.326,,,0.3488
DPR,wod,,,,,,,,
DVP,g_log,,,,0.6111,,,,
DVP,omr,,,,,,,,
DVP,dpoc,,0.3044,,,,,,
DVP,lrr,,,,,,0.3721,,
DVP,wct,,,,,,,,
DVP,hskd,,,,,,,0.6093,
DVP,ht,,,0.6937,,0.3423,,,0.582
DVP,wod,,,,,,,,
DXG,g_log,,,,0.5516,,,,
DXG,omr,,,,,,,,
DXG,dpoc,,0.6202,,,,,,
DXG,lrr,,,,,,0.5579,,
DXG,wct,,,,,,,,
DXG,hskd,,,,,,,0.3925,
DXG,ht,,,0.6243,,0.3885,,,0.6634
DXG,wod,,,,,,,,
ELC,g_log,,,,0.3438,,,,
ELC,omr,,,,,,,,
ELC,dpoc,,0.5276,,,,,,
ELC,lrr,,,,,,0.3655,,
ELC,wct,,,,,,,,
ELC,hskd,,,,,,,0.6017,
ELC,ht,,,0.5886,,0.5787,,,0.389
ELC,wod,,,,,,,,
FPT,g_log,,,,0.5904,,,,
