ticket,time,dttn,ebit,interest,dna,capex,wc,debt,equity,value,TA
AAA,2013-03-31,246600370798,26459693263,5222906057,12006383839.0,37428106400.0,246239917078,273437797874,534882291065,808320088939,875957802959
ANV,2013-03-31,496496340514,20807509552,14292499142,0.0,-0.0,1242149405595,863873699258,1423159885871,2287033585129,2516817902498
ASM,2013-03-31,281520455417,21668380726,13373725023,0.0,-0.0,713749618575,674402124486,684662628718,1359064753204,1594512189936
BMP,2013-03-31,446714255478,108420895787,1973765168,17571657045.0,861000000.0,562675831085,4305670000,1349901209083,1354206879083,1465195268117
CHP,2013-03-31,69228039489,11594861713,43985602640,0.0,13718273723.0,-142987691951,1877939640621,1160387256483,3038326897104,3263150710411
CII,2013-03-31,204476768996,108606149861,37597999883,0.0,-99234885693.0,-433181798364,3909490684611,1668126368178,5577617052789,6994547251554
CMG,2013-03-31,505863055104,20057764542,18934107139,0.0,75534053963.0,605120740679,708383388732,577160270431,1285543659163,1672329395191
CTD,2013-03-31,995194547728,64494376359,0,9100658695.0,311272272.0,391047915898,0,2080693435816,2080693435816,3606658939252
DBC,2013-03-31,1159103513542,61870373950,31908675172,23591050848.0,43232776883.0,1832017207358,1579606364456,1555547024743,3135153389199,3568154485934
DCL,2013-03-31,149819344499,16060530147,12000329644,0.0,165778182.0,336514009543,312263959571,253581133195,565845092766,648082623643
DHC,2013-03-31,97355375015,11362532704,5897090447,0.0,1129492837.0,114277826813,189081438177,204059424198,393140862375,435438787862
DHG,2013-03-31,793879982172,150667335360,603777665,14810603058.0,70761159813.0,440930086030,23012406321,1803849198652,1826861604973,2565469079576
DHT,2013-03-31,169017198949,4152493036,0,0.0,1634176146.0,172519201110,103303087654,135631184803,238934272457,288769395079
DIG,2013-03-31,180292409997,15039122597,5827476295,0.0,1907008505.0,2166554637054,1144495923886,2328180811880,3472676735766,4987584378159
DNP,2013-03-31,60729671173,2703624069,2428545991,3311842127.0,785277436.0,127264373782,127217374949,83041872378,210259247327,251124281637
DPM,2013-03-31,2965794302444,794420936939,435083071,56919340961.0,21697989147.0,381170241358,13014078166,9764498184847,9777512263013,11329565307827
DPR,2013-03-31,243356675159,81317330833,2981425132,0.0,17722423909.0,235020201948,56058825100,2220395284298,2276454109398,2730273542493
DVP,2013-03-31,115015352091,50955922758,2103619916,0.0,11525000000.0,65747021898,151123326261,592707620496,743830946757,786829608158
DXG,2013-03-31,50945875494,1894751723,45523076,1014995084.0,145226546.0,237251796601,1269120000,554305111962,555574231962,1003789937422
ELC,2013-03-31,103134954331,4071067068,186505397,0.0,19269291368.0,200356317294,10121918828,641421657181,651543576009,905545544715
FPT,2013-03-31,8730207267252,609965888760,35581809119,107156330415.0,267943405696.0,3712137861880,2861813497552,6528837986653,9390651484205,14059014871732
GAS,2013-03-31,17472652777717,5472632506572,89773106264,761410450855.0,399549213401.0,2539438782725,8657717137232,31455983103739,40113700240971,48101968875708
GEX,2013-03-31,1490876770943,122009493213,19032915645,0.0,28918624113.0,1173786896412,850812466734,1885532378026,2736344844760,4544404716585
GMD,2013-03-31,761008540727,185976829525,29885219097,48365904460.0,-4373564752.0,1001299226646,1419256094187,4537452276568,5956708370755,7079445241898
HAG,2013-03-31,801036747000,234083126000,126622700000,83766472000.0,1241687566000.0,8236243636000,17200389782000,9962345259000,27162735041000,32749516716000
HDC,2013-03-31,43433604974,15731599829,7478809168,0.0,-30963125.0,844031498942,435076479011,569459519749,1004535998760,1301959422194
HDG,2013-03-31,146559848878,12540660383,3384223319,5096085981.0,4200105733.0,580695681494,350027399533,647629096218,997656495751,1878265502673
HGM,2013-03-31,43423197757,26030530971,0,1340086445.0,1318581441.0,-1102307046,0,270548920061,270548920061,294638886152
HHS,2013-03-31,104424904663,18195145128,0,107822509.0,-0.0,-36926187577,0,388377161510,388377161510,625419611021
HPG,2013-03-31,4102489612694,653610700784,81392133173,151633777795.0,975958177794.0,6599981168355,6072070359031,9032659485204,15104729844235,19193358442288
HSG,2013-03-31,2612096010161,320667328608,53772607924,71372857447.0,195462724422.0,2317839380491,3030431526810,2252001021934,5282432548744,6331235079025
HT1,2013-03-31,1219354232813,221362471960,220467735077,151496622500.0,60196544023.0,255941054024,10038564227977,1913570486312,11952134714289,13413670957993
HUT,2013-03-31,437397497465,7515783285,5542310188,0.0,22759467043.0,735421342161,1815047288369,557327026642,2372374315011,3932141009844
IJC,2013-03-31,84649612256,25242967294,5167513164,8584121698.0,17555060234.0,1973851460408,575149413857,3030392266760,3605541680617,4609003540906
IMP,2013-03-31,189717990949,27801460507,218000000,7955888345.0,5209743905.0,350339979625,0,726869072443,726869072443,841689272068
KBC,2013-03-31,53931028759,16450706913,72706741238,7072699351.0,-903000000.0,7051245921971,4006771730008,3924898082212,7931669812220,11774976446490
KDC,2013-03-31,832527359067,59284697694,10928433547,43421101853.0,72372507824.0,566090287147,778565766224,4581791871940,5360357638164,6083392801840
KDH,2013-03-31,122472084000,16424004000,13436687000,3478737000.0,3147722000.0,1697615123000,696587596000,1123071493000,1819659089000,2398078158000
LGC,2013-03-31,28046553431,4285002447,2798954784,0.0,890527273.0,35203450500,168052613793,161543951933,329596565726,390522367696
MSN,2013-03-31,1770173000000,181417000000,64602000000,105494000000.0,1449117000000.0,-684370000000,13971792000000,15527440000000,29499232000000,40619911000000
NKG,2013-03-31,871652265011,68839501380,43533037779,18238049213.0,-39895839210.0,612723074304,1384410758509,303239137260,1687649895769,2293183607799
NLG,2013-03-31,21909714698,-24734283645,10808348073,2999690296.0,4907440910.0,1648178681070,657093721114,1238756740475,1895850461589,3082966416130
NT2,2013-03-31,1747894130761,71351914184,70061952114,261408641181.0,5369962942.0,90769840616,9205771539287,2783740375573,11989511914860,13306799229948
NTP,2013-03-31,554968926484,91408457640,4904468151,17034226337.0,34220688035.0,544068839373,284276693202,1178137408765,1462414101967,1627198960282
PAN,2013-03-31,79936195914,11327355970,8594444,1303904968.0,1452572744.0,-3633473273,0,517740767151,517740767151,634089186852
PDN,2013-03-31,40916857789,8190069486,1124683665,0.0,16368144211.0,20229428177,58922864642,249756666933,308679531575,338993700038
PDR,2013-03-31,9066514501,611490699,375000001,341424834.0,437775444.0,4438043336152,2779591650000,1426085317949,4205676967949,5314440409357
PET,2013-03-31,2772220453690,90966619329,19976584541,8175188791.0,2161333521.0,1137700092880,1373742292182,1230590043784,2604332335966,4270083335553
PGS,2013-03-31,1485032879954,91883788760,15106126959,71036164430.0,8399117147.0,-209843377070,671475771158,850837777741,1522313548899,2821000126101
PHR,2013-03-31,351541047727,68174483987,2479659362,0.0,-58043363650.0,141559787300,292869940000,2082523498928,2375393438928,2964281180723
PNJ,2013-03-31,1778359861461,107586825966,19615939202,3760765397.0,9856229758.0,718169034801,1219787643465,1306898639442,2526686282907,2681082334449
PPC,2013-03-31,2469584895221,1049719343880,37317625731,175696278014.0,79983009260.0,2019195116108,6156214686435,5098588847563,11254803533998,11998332979111
PTB,2013-03-31,580736344952,39509364624,5165711145,15030335429.0,19900642702.0,309124885999,319917580668,227987352408,547904933076,682691306434
PVD,2013-03-31,3195031258388,579046351176,62083540044,264389944676.0,14218255028.0,570745601712,6528026709732,7368205714664,13896232424396,19011608157048
PVS,2013-03-31,4858803603022,450336139477,43041705165,247495849285.0,73983666226.0,-2507285347303,4430927619874,7296705817320,11727633437194,22012461849627
PVT,2013-03-31,1268829369791,92667651878,25045091773,87441885854.0,20079254656.0,930505229946,3967488639886,2638558443260,6606047083146,8035212573585
QCG,2013-03-31,121455467839,4944352947,5120330606,4906501972.0,15652849123.0,3456661189605,1783223161969,2295826411221,4079049573190,6686196140926
REE,2013-03-31,561504238102,432476870954,14597006052,15447173783.0,62693854.0,-570535822535,791748479904,3912715011644,4704463491548,6776203325481
SAM,2013-03-31,220521350581,40227103478,4470694496,0.0,58508542661.0,781437182416,245524191244,2368423273964,2613947465208,2791483957704
SBT,2013-03-31,536769173890,79903377170,19129051427,20416959611.0,24334776392.0,1424391834928,1260646342954,1777745081023,3038391423977,3235857457266
SCR,2013-03-31,226875579464,25319159401,23283103757,0.0,9544132280.0,2613513348975,2732414530758,2257445996126,4989860526884,6518606663399
SHP,2013-03-31,24410794109,6910500186,3038070851,0.0,113230674014.0,-8060044574,1284236371187,1049704300388,2333940671575,2614366229107
SJS,2013-03-31,47924526396,15836609075,0,0.0,44300098.0,2930198668004,2240217324176,1542145204742,3782362528918,5626870368484
STG,2013-03-31,150409537087,8579266105,4767455,1317399989.0,-88864546.0,34157858006,0,134951607904,134951607904,179410522517
TCM,2013-03-31,548698416347,34685310168,12057131285,13705153897.0,4818782696.0,664142553154,1073902126549,644959082678,1718861209227,1992355584380
TLG,2013-03-31,294304845004,45434637231,6532393829,9602019447.0,3416251957.0,392524682002,257386188321,576082237576,833468425897,961313736777
TMP,2013-03-31,84595257083,26367332119,14406287302,34690732257.0,555454545.0,30741159795,417086195402,904867181997,1321953377399,1443922672820
TMS,2013-03-31,123722202358,33690969601,1445175194,0.0,33941448063.0,32642329015,121958150168,600200361639,722158511807,796995740467
TRA,2013-03-31,437114811848,57217736012,6780204348,5324197281.0,6896228330.0,460759437497,226188183656,473082686986,699270870642,1016397699536
TVN,2013-03-31,6870445921134,231719385397,212567869861,140901724690.0,93663085452.0,3936886779112,11979868105287,6209776951976,18189645057263,23620342318735
VC3,2013-03-31,37352292962,-510490666,436153055,1833856679.0,-355000000.0,527813651150,388516186074,204526225062,593042411136,1342143144537
VCF,2013-03-31,424237879996,37882946292,0,0.0,675747228.0,236697732201,0,986995460781,986995460781,1142671794624
VCG,2013-03-31,2694017868413,260255088399,174367957434,154689879787.0,24381216580.0,4796244089484,10490589102344,5199458135025,15690047237369,27915893393330
VCS,2013-03-31,259022621064,38523426773,25571402994,0.0,15217269696.0,848294308900,1443221867632,1013159924920,2456381792552,2568129330937
VHC,2013-03-31,1099112042960,81342887846,15849805143,25897051561.0,34703623317.0,1339218248780,1492536764191,1379205165056,2871741929247,3329304536621
VIC,2013-03-31,1728253672143,858774798796,425621975262,282562455694.0,644308821637.0,2086259863283,23251207113505,10845724826082,34096931939587,58849025958999
VNM,2013-03-31,6821258382299,1867922710487,0,153256896661.0,350644005041.0,2668032238707,0,16871396981401,16871396981401,20588839867010
VSC,2013-03-31,172629565155,56885382907,110815699,0.0,27684444892.0,-71298562547,38105600000,779669090257,817774690257,1062606574693
VSH,2013-03-31,72910376027,38136434272,1797448455,18758847584.0,92594554894.0,641299237968,770759359292,2483069465886,3253828825178,3336990317717
AAA,2013-06-30,278512304551,21025948770,4795952169,11387760207.0,94040258488.0,301306041882,332661001848,517619756748,850280758596,952365073922
ANV,2013-06-30,706772031505,22328071478,18811208564,0.0,-0.0,1285762199159,988621544532,1366075771628,2354697316160,2694550739378
ASM,2013-06-30,277202459910,18480969245,13299473290,0.0,-0.0,759893030899,708838491326,688624275909,1397462767235,1655047891708
BMP,2013-06-30,602444572825,154228601954,1745867462,17932864193.0,3033086979.0,474757620326,4655670000,1379363969068,1384019639068,1639007592162
CHP,2013-06-30,78991726241,50319136633,54405713656,0.0,-8876768974.0,-135764084293,1813834018041,1156300679460,2970134697501,3181337003734
CII,2013-06-30,103792251750,-48612014944,33571052729,0.0,288542161434.0,-355883931290,4445802464671,1548186793059,5993989257730,7474641713916
CMG,2013-06-30,563663829200,13187374216,19361891779,0.0,555279336.0,597751180140,708413657480,567341016081,1275754673561,1674171534493
CTD,2013-06-30,1328689850527,122414842587,0,10071684677.0,2239783316.0,383161421846,0,2168435277504,2168435277504,4287092954700
DBC,2013-06-30,1135972676578,62159085040,33151944146,24768455436.0,60194175306.0,1539761059984,1294311780550,1574567980459,2868879761009,3468340631991
DCL,2013-06-30,175330528042,23819362241,7831455564,0.0,744564378.0,357674455830,315030875519,267688510183,582719385702,648625201801
DHC,2013-06-30,103120205934,6997104171,5324999160,0.0,-2486151718.0,136831651429,176977065035,205731529209,382708594244,429674800393
DHG,2013-06-30,797142013564,161818730276,607215519,14587726420.0,8801414849.0,439287020791,24457512251,1732385192610,1756842704861,2595011558735
DHT,2013-06-30,178735122132,7188373169,0,0.0,2508541132.0,145488141079,104953552059,127443365672,232396917731,311508679859
DIG,2013-06-30,160581534413,26102786670,12889799632,0.0,3056289223.0,2213486989656,1166182583426,2343146726679,3509329310105,5059453850023
DNP,2013-06-30,89566279130,7277990229,2766797050,3350143354.0,3740179054.0,148867050674,147144700138,82719336490,229864036628,271227440273
DPM,2013-06-30,3370567165686,1036870548557,1478539043,57724037411.0,94683509745.0,406112636895,68239554076,9670116275655,9738355829731,11362297990236
DPR,2013-06-30,203568434223,98064671908,-314152274,0.0,18388833078.0,270970622775,88024845400,2173657336036,2261682181436,2724403350111
DVP,2013-06-30,142176934245,63473328001,2635798442,0.0,48297364640.0,13970888459,142626280531,625210327539,767836608070,866664212166
DXG,2013-06-30,141412897712,30738641178,55175161,947805391.0,396863401.0,123506922229,312480000,574380045447,574692525447,1038735525491
ELC,2013-06-30,78898001757,5679572700,228873097,0.0,2083935041.0,132817069820,6300000000,641443589834,647743589834,926886325163
FPT,2013-06-30,9458950761188,732261025638,29936292950,98098457698.0,114710586947.0,4066920250648,3523813775786,6989817549960,10513631325746,15523397316021
GAS,2013-06-30,16072002120214,3820221095889,119982247049,861688062707.0,446904688609.0,1980199793168,8329372891662,32310863692220,40640236583882,49122286048449
GEX,2013-06-30,1888566319767,169383667155,25237275175,0.0,63306834871.0,1202258620479,958207112705,1923378456149,2881585568854,4387042789648
GMD,2013-06-30,612518101309,26861178344,30039809844,73685881784.0,426683708716.0,532312834461,1547199693818,4464648979706,6011848673524,7534212802265
HAG,2013-06-30,1215061719000,625568951000,233027297000,136556751000.0,1599046375000.0,9841701574000,14595714077000,12672060274000,27267774351000,32988010192000
HDC,2013-06-30,60997927003,4749900681,150262758,0.0,-30349455.0,822961927177,417149936254,573080503156,990230439410,1306504239806
HDG,2013-06-30,146724633795,40992753231,9056397467,12335355608.0,88358812708.0,355288812361,269487987271,660827906199,930315893470,1920097371817
HGM,2013-06-30,49758508365,29044185312,73861742,1984912051.0,5507146893.0,23015563412,0,294454767179,294454767179,325309604380
HHS,2013-06-30,134690809254,22135940399,0,128081134.0,1439940000.0,-1723854870,0,455307795332,455307795332,787918972111
HPG,2013-06-30,4448709042690,677012187462,77682792362,153612281709.0,1028566013475.0,4531175200322,6316453527033,9028295607495,15344749134528,21152503287709
HSG,2013-06-30,3290201035713,265572639925,46107421087,76735442174.0,42390092408.0,3032916757925,3668473785429,2241804237092,5910278022521,6683061727016
HT1,2013-06-30,1815652176485,207545515114,206225867559,152335271121.0,43005703872.0,119295998595,9820914327378,1941731265748,11762645593126,13319806366516
HUT,2013-06-30,500196112984,10546140459,6927768853,0.0,64553549571.0,671516918873,1685282191956,718192750260,2403474942216,3906519599685
IJC,2013-06-30,66249148711,23827364136,6351019721,8604031279.0,22665241445.0,1875811304645,587018892797,2874300381456,3461319274253,4577274090882
IMP,2013-06-30,222045376950,27510983500,-218000000,10115134177.0,13053050759.0,328540656219,0,727059043356,727059043356,858952716517
KBC,2013-06-30,157976056788,51761263801,72756457896,7901023898.0,2772321885.0,7178441568461,3952385766458,3907230826989,7859616593447,11953706918093
KDC,2013-06-30,940759779265,97760628232,14542699047,71220049337.0,58364148554.0,565702676708,811657693319,4638791954451,5450449647770,6171513065480
KDH,2013-06-30,-44449586000,-72040427000,1018143000,10766341000.0,-3147722000.0,1668577733000,743591332000,1066514920000,1810106252000,2364875174000
LGC,2013-06-30,32631219988,2781777707,8928229944,0.0,-0.0,46995571977,178544626698,155329993108,333874619806,407018273446
MSN,2013-06-30,2850698000000,515058000000,50593000000,108937000000.0,880118000000.0,-336785000000,14480393000000,15268626000000,29749019000000,41524449000000
NKG,2013-06-30,1182253047180,56158178630,40783633191,22627980716.0,141163911746.0,507250966745,1264325270841,318233881911,1582559152752,2706232060101
NLG,2013-06-30,85751746896,-14371634044,10819214544,2943063150.0,1788635909.0,1666884014536,723187734645,1208799834459,1931987569104,3172976453408
NT2,2013-06-30,1436655522967,71003850145,68742187111,230233561165.0,-2478238522.0,253237843099,8812309778668,2783008064916,11595317843584,12723979526858
NTP,2013-06-30,705206098301,135205559274,4144453910,15793792484.0,53801023089.0,551968557996,399360729551,1169818310836,1569179040387,1837073008503
PAN,2013-06-30,131259061991,16328633633,183197472,6105144465.0,198971738.0,234369108709,135593339175,539833385304,675426724479,965449702951
PDN,2013-06-30,56787042892,14898004650,1546590640,0.0,16720100790.0,19736456611,51276123035,262709665246,313985788281,350494498388
PDR,2013-06-30,9006792043,1137557862,379166667,333008303.0,2030756903.0,4490272159907,2779591650000,1426452611345,4206044261345,5431295500018
PET,2013-06-30,2743642653032,109903798928,26701715765,7601647133.0,2357526799.0,1583368270521,2041763973087,1265864434364,3307628407451,4696464291359
PGS,2013-06-30,1563333376937,98785748047,20923931222,87258964613.0,26041047479.0,-310128981838,558398284675,848541976382,1406940261057,2805016450066
PHR,2013-06-30,466380260570,115056441202,3565170026,0.0,92633583866.0,139748251018,388326040000,2043026436746,2431352476746,3062271387498
PNJ,2013-06-30,2050765058008,52394824052,21865255362,5043309111.0,848601917.0,806158431449,1040981905201,1208603029750,2249584934951,2393844859218
PPC,2013-06-30,2245915553048,670673879750,452820000,176113099084.0,196696390613.0,2489234245409,5921429625879,5115071243460,11036500869339,12033860610855
PTB,2013-06-30,450873548268,31006599419,3110442390,9448463053.0,20441547995.0,276478458507,301640918712,228717274196,530358192908,656026819925
PVD,2013-06-30,3374156306025,619904976234,59894005274,254647374966.0,93918923918.0,307635235240,5981393047764,7813738809364,13795131857128,19852990407280
PVS,2013-06-30,6949283235671,459944654042,39846772612,244968148950.0,44053865383.0,-2946848673825,3867612500874,7149785382541,11017397883415,24186531626974
PVT,2013-06-30,1142249811057,154202130857,31902953339,87759677995.0,-438232068175.0,863972460675,4256728370889,2708661494870,6965389865759,8437470566072
QCG,2013-06-30,134708238152,45771550938,47710066130,3548379774.0,27303130320.0,3292209871446,1793800588979,2299746141061,4093546730040,6689363387488
REE,2013-06-30,718421635480,292956394997,12750720825,15483766974.0,40413939.0,150819819608,768389252100,4441703666673,5210092918773,6605160213251
SAM,2013-06-30,309188141129,41089091517,6431612709,0.0,59452292479.0,713019342965,192811423021,2398565351685,2591376774706,2973920246442
SBT,2013-06-30,459800060345,70984575598,29897783114,21060735172.0,-4492078055.0,1580760740047,1426333896218,1652870131803,3079204028021,3208524765100
SCR,2013-06-30,307670398708,50845964904,99654652488,0.0,-17511650920.0,2407084351746,2495468123538,2077499316486,4572967440024,6013303580735
SHP,2013-06-30,58788450395,38263231755,3425701271,0.0,56151814071.0,-109380617606,1325399185258,1015023232630,2340422417888,2752973038972
SJS,2013-06-30,108120288956,11243673606,816271702,0.0,-0.0,2990793047709,2274564465348,1550786264318,3825350729666,5632183305908
STG,2013-06-30,164927213209,4012325932,3787609,1264226316.0,1361452036.0,33927592457,0,128635916072,128635916072,172679570577
TCM,2013-06-30,656996883545,53060679127,12810057622,13790869421.0,32837917855.0,576815491094,1028859985819,635453608193,1664313594012,2047678033154
TLG,2013-06-30,358984992669,48173138685,6147122275,9752606890.0,5386317581.0,423119897092,268475407532,582941466498,851416874030,1074621532964
TMP,2013-06-30,141317262259,76248250619,13922798938,34640922641.0,14849040456.0,-56577215114,378324195402,835791793614,1214115989016,1474352461067
TMS,2013-06-30,84208140994,23908943186,3695843697,0.0,15173028842.0,21507368793,137072496356,599939505639,737012001995,803470320236
TRA,2013-06-30,417872191480,71661263683,5925995804,5633493828.0,30562462372.0,455968595901,251356237618,513453941608,764810179226,1062710409522
TVN,2013-06-30,6628168659608,-222893125933,-171032404530,144149682775.0,244231016765.0,3309562610722,11737060482590,6330629001477,18067689484067,24016275988789
VC3,2013-06-30,149105880405,10351641113,246981876,3259383965.0,-3637990108.0,526023200438,387095154751,197270525296,584365680047,1288687189219
VCF,2013-06-30,438589608772,19596700824,0,0.0,-0.0,360016930940,0,947050176188,947050176188,1094520772761
VCG,2013-06-30,3249860588668,230865116228,172594020495,157671070686.0,70290662307.0,5156524746562,10415946137118,5211185111926,15627131249044,27268560382195
VCS,2013-06-30,283738937168,45424342366,24703038441,0.0,10080689157.0,801997760841,1381440576299,1027186344402,2408626920701,2592537478084
VHC,2013-06-30,1370578231748,74821636733,18622452767,0.0,-0.0,1273115072434,1516284437246,1399724650912,2916009088158,3395960316238
VIC,2013-06-30,7272263092087,5459611082134,375442152711,-11835902503.0,3713630508845.0,1298635019457,19072746754052,14637821147073,33710567901125,58538158537120
VNM,2013-06-30,8260144706096,2246550550556,0,181791307800.0,242033011742.0,2560836082775,0,17031473186661,17031473186661,21114538768762
VSC,2013-06-30,200283889024,70715499913,619216000,0.0,14458470057.0,-61113158751,15298120000,787986028958,803284148958,1038751327171
VSH,2013-06-30,102313249717,65694932651,660019975,18941852476.0,190828960633.0,563869019339,844078623434,2528184750955,3372263374389,3451470196759
AAA,2013-09-30,310753542111,21102573625,4261851028,12412119053.0,52159813961.0,178260833488,273447628118,530809006041,804256634159,949364911057
ANV,2013-09-30,691337553781,39659229685,15987248169,0.0,-0.0,1318501623872,945819756851,1390113906310,2335933663161,2714916947114
ASM,2013-09-30,195911093552,12729025648,10062606337,0.0,-0.0,796622722948,739073498601,692663261120,1431736759721,1686804289779
BMP,2013-09-30,529735458560,116584356677,6319000,16492152258.0,2587660200.0,565521745366,10725670000,1461195956573,1471921626573,1614445294159
CHP,2013-09-30,119085854637,71124905124,42884960005,0.0,610534741.0,-121475218284,1782644485963,1184540624579,2967185110542,3172369680108
CII,2013-09-30,489606349325,126719823849,54173929492,0.0,149421972543.0,-345731828159,4783680292773,1600059834365,6383740127138,8078088436722
CMG,2013-09-30,730567693812,27057410788,16343603138,0.0,43865538558.0,439266180281,570053744654,574412964624,1144466709278,1567582005164
CTD,2013-09-30,1539471837111,102681784634,0,8510054051.0,-469474298.0,562234435409,0,2233230557512,2233230557512,4219187739440
DBC,2013-09-30,1189493799949,85028868429,15900713105,26845439083.0,78844593977.0,1675121187704,1406564062146,1629725867719,3036289929865,3533651921410
DCL,2013-09-30,165019715982,19772593965,8420061625,0.0,966296365.0,360644975131,306985152679,276344510756,583329663435,638852908897
DGC,2013-09-30,486419640701,98204307042,1216142855,10712509127.0,21220202160.0,317674064492,193799750917,592483911283,786283662200,1282583329311
DHC,2013-09-30,122647069965,15261181917,4100892448,0.0,1317774485.0,121370779573,141499370154,216293512772,357792882926,412702692066
DHG,2013-09-30,983866402353,272885838792,534470383,15194710310.0,117996966569.0,530177445674,24711069020,1843201100232,1867912169252,2778376966910
DHT,2013-09-30,202646225462,10248219447,1851598682,0.0,2177286635.0,161216421979,95780473476,129128709577,224909183053,320345188137
DIG,2013-09-30,211534782031,4566202319,2820894213,0.0,13980503896.0,2223053058307,1017547493650,2344634890218,3362182383868,4697188993189
DNP,2013-09-30,110056457868,5131232635,2816374187,0.0,-0.0,158157437849,144758063605,89667211980,234425275585,266077204425
DPM,2013-09-30,2007627577012,436117833734,987366291,27094207.0,123010718939.0,1004993120234,21835008474,10027508787939,10049343796413,11375444702914
DPR,2013-09-30,334118726014,82618871163,1360995876,0.0,24617661279.0,224539029686,120304066266,2218639321453,2338943387719,2855870758793
DVP,2013-09-30,132798907300,55237279894,1128758112,0.0,62785730750.0,76792331399,184253173851,676115513596,860368687447,897533889211
DXG,2013-09-30,75832027955,39350998218,32271071,881363437.0,133000000.0,249945668941,600000000,604459331331,605059331331,1114786224496
ELC,2013-09-30,98879180206,7735247780,1153994148,0.0,3599854601.0,238372674291,77503836484,617323684868,694827521352,880979298552
FPT,2013-09-30,12120788540596,596295015046,33765560183,113860144779.0,219281951422.0,3964594875302,3656124772443,6904108800408,10560233572851,15709061410848
GAS,2013-09-30,17413796856432,3847419931284,105405478144,799377760645.0,565260037217.0,2822086038707,8015698879463,33323030638968,41338729518431,48356717253633
GEX,2013-09-30,1882638164432,209862829973,28717021542,0.0,22124346870.0,1295747973448,974191971718,2038416994824,3012608966542,4892506563536
GMD,2013-09-30,660517117429,60848928182,27242914305,61838204062.0,79645289402.0,584372285634,1609007184936,4486173339681,6095180524617,7569612711630
HAG,2013-09-30,938472873000,411316838000,154496482000,57410187000.0,766174044000.0,9738954491000,14507203720000,12909680132000,27416883852000,32202727128000
HDC,2013-09-30,42514638911,6198609885,2843555756,0.0,215158500.0,819114601745,402045435994,574482514965,976527950959,1298788949772
HDG,2013-09-30,312480907495,49587377362,-1636431612,3035164825.0,-52626025497.0,595335680664,200143435890,730450768031,930594203921,2089028317634
HGM,2013-09-30,45355857915,21458950329,1000000,827640224.0,2225457709.0,-26930235373,0,282870078260,282870078260,346245848063
HHS,2013-09-30,109374548464,18921960845,0,149553738.0,-0.0,-27717107840,0,474110954463,474110954463,727203213776
HPG,2013-09-30,4267350998295,677426360917,79447906827,164500424985.0,657936040121.0,4426098399344,7156937263944,9105588923836,16262526187780,22528534422358
HSG,2013-09-30,3222327962142,72573159821,18783687137,78623108596.0,231421766732.0,2513265687444,3402440649349,2210435794604,5612876443953,7142170982172
HT1,2013-09-30,1587255909240,105241885654,177821324227,156041490241.0,97982839597.0,33569357467,9731798149757,1896876467055,11628674616812,13037069973779
HUT,2013-09-30,295154992700,8798279449,6330874243,0.0,182180869415.0,534519090464,1788511642524,719505242087,2508016884611,4113395266496
IJC,2013-09-30,47418696477,25573603618,6944316833,8860260024.0,27936837282.0,1946523343668,636981046238,2887950068931,3524931115169,4637530091336
IMP,2013-09-30,203372919585,26192694229,0,6233465502.0,3172746209.0,305166938446,0,747327013475,747327013475,859508627605
KBC,2013-09-30,146760497408,9588634613,71736982839,9486193938.0,7645805269.0,7010251815177,3903773227421,3849233206255,7753006433676,11936325545066
KDC,2013-09-30,1760828740745,384124310869,10885829456,60160454078.0,23038896090.0,291870318801,603887689067,4802488018035,5406375707102,6420161196670
KDH,2013-09-30,31008240000,-89250620000,24435009000,17646315000.0,742277000.0,1051321654000,389951528000,951124074000,1341075602000,1623412699000
LGC,2013-09-30,66190088285,7598875265,5613532026,0.0,70209000.0,52446123377,176518673940,155907519749,332426193689,407720003968
MSN,2013-09-30,3350834000000,492721000000,0,158775000000.0,927320000000.0,-276688000000,18407795000000,12630761000000,31038556000000,43996996000000
