,AAA,ANV,ASM,BMP,CHP,CII,CMG,CTD,DBC,DCL,DHC,DHG,DHT,DIG,DNP,DPM,DPR,DVP,DXG,ELC,FPT,GAS,GEX,GMD,HAG,HDC,HDG,HGM,HHS,HPG,HSG,HT1,HUT,IJC,IMP,KBC,KDC,KDH,LGC,MSN,NKG,NLG,NT2,NTP,PAN,PDN,PDR,PET,PGS,PHR,PNJ,PPC,PTB,PVD,PVS,PVT,QCG,REE,SAM,SBT,SCR,SHP,SJS,STG,TCM,TLG,TMP,TMS,TRA,TVN,VC3,VCF,VCG,VCS,VHC,VIC,VNM,VSC,VSH,DGC,MWG,SWC,CEO,CSV,DCM,DGW,HNG,VGC,DDV,MSR,SAS,VEF,TBD,HHV
AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5476,,,,,,,,,,,,,,,,,,,,,,,,,,
BMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5306,,,,,,,,,,,,,,,,
CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5134,,,,,,,,,,,,,,
CMG,,,,,,,,,,,,,,,,,,,,,,0.4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTD,,,,,,,,,,0.4657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBC,,,,,,,,,,,,,,,,,,,,,,,,,,0.3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
