,Unnamed: 0,Tên,Hối đoái,Lĩnh vực,Ngành,Vốn Hoá Thị Trường
0,VIC,Vingroup,HOSE,Bất Động Sản,Hoạt động bất động sản,"1.194,43 NT ₫"
1,HPG,Hoà Phát,HOSE,Nguyên Liệu Cơ Bản,Kim Loại & Khai Mỏ,"206,47 NT ₫"
2,GAS,TCT Khí Việt Nam,HOSE,Năng lượng,Khí và Dầu,"170,11 NT ₫"
3,FPT,FPT,HOSE,Công Nghệ,Dịch Vụ Phần Mềm & CNTT,"157,57 NT ₫"
4,MWG,Thế giới Di động,HOSE,Hàng Tiêu Dùng Theo Chu Kỳ,Nhà Bán Lẻ Chuyên Dụng,"128,63 NT ₫"
5,VNM,Vinamilk,HOSE,Hàng Tiêu Dùng Không Theo Chu Kỳ,Thực Phẩm & Thuốc Lá,"128,53 NT ₫"
6,MSN,Tập đoàn Masan,HOSE,Hàng Tiêu Dùng Không Theo Chu Kỳ,Thực Phẩm & Thuốc Lá,"108,88 NT ₫"
7,GEX,Gelex,HOSE,Các Ngành Công Nghiệp,"Máy Móc, Công Cụ, Xe Tải Hạng Nặng, Tàu Hỏa & Tàu Thủy","38,58 NT ₫"
8,KDH,Khang Điền,HOSE,Bất Động Sản,Hoạt động bất động sản,"35,97 NT ₫"
9,REE,TCT Cơ điện lạnh,HOSE,Tiện ích,Công Ty Điện Lực & IPP,"33,2 NT ₫"
10,PNJ,Vàng bạc Đá quý Phú Nhuận,HOSE,Hàng Tiêu Dùng Theo Chu Kỳ,Dệt May,"32,72 NT ₫"
11,KBC,Kinh Bắc,HOSE,Bất Động Sản,Hoạt động bất động sản,"31,27 NT ₫"
12,MSR,Tài nguyên Masan,HNX,Nguyên Liệu Cơ Bản,Kim Loại & Khai Mỏ,"26,38 NT ₫"
13,GMD,Gemadept,HOSE,Các Ngành Công Nghiệp,Cơ Sở Hạ Tầng Giao Thông Vận Tải,"25,38 NT ₫"
14,DGC,Hóa chất Đức Giang,HOSE,Nguyên Liệu Cơ Bản,Hóa Chất,"23,13 NT ₫"
15,HAG,Hoàng Anh Gia Lai,HOSE,Hàng Tiêu Dùng Không Theo Chu Kỳ,Thực Phẩm & Thuốc Lá,"22,69 NT ₫"
16,VEF,Trung tâm Hội chợ Triển lãm VN,HNX,Các Ngành Công Nghiệp,Dịch Vụ Chuyên Môn & Thương Mại,"21,84 NT ₫"
17,SBT,Thành Thành Công,HOSE,Hàng Tiêu Dùng Không Theo Chu Kỳ,Thực Phẩm & Thuốc Lá,"20,69 NT ₫"
18,PDR,Phát Đạt,HOSE,Bất Động Sản,Hoạt động bất động sản,"18,96 NT ₫"
19,VGC,Viglacera,HOSE,Hàng Tiêu Dùng Theo Chu Kỳ,Vật Tư Xây Dựng & Công Trình,"18,32 NT ₫"
20,DXG,Đất Xanh,HOSE,Bất Động Sản,Hoạt động bất động sản,"17,93 NT ₫"
21,SJS,SJ JSC,HOSE,Bất Động Sản,Hoạt động bất động sản,"17,25 NT ₫"
22,HUT,Tasco,HNX,Hàng Tiêu Dùng Theo Chu Kỳ,Nhà Bán Lẻ Chuyên Dụng,"17,09 NT ₫"
23,DCM,Đạm Cà Mau,HOSE,Nguyên Liệu Cơ Bản,Hóa Chất,"16,83 NT ₫"
24,PVS,Dịch vụ Kỹ thuật Dầu khí Việt Nam,HNX,Năng lượng,Thiết bị và dịch vụ dầu khí,"16,11 NT ₫"
